Clave Entidad,Entidad federativa,Clave Municipio,Municipio,Cantidad promedio diaria de residuos sólidos urbanos recolectados,Recolección Casa por casa,Recolección en un punto establecido,Recolección por sistema de contenedores
09,Ciudad de México,002,Azcapotzalco,712328,0,712328,0
09,Ciudad de México,003,Coyoacán,1100000,440000,660000,0
09,Ciudad de México,004,Cuajimalpa de Morelos,610296,0,598090,12206
09,Ciudad de México,005,Gustavo A. Madero,3021000,90630,2869950,60420
09,Ciudad de México,006,Iztacalco,880000,264000,572000,44000
09,Ciudad de México,007,Iztapalapa,1070500,267625,749350,53525
09,Ciudad de México,008,La Magdalena Contreras,450000,0,450000,0
09,Ciudad de México,009,Milpa Alta,84900,0,84051,849
09,Ciudad de México,010,Álvaro Obregón,851000,510600,85100,255300
09,Ciudad de México,011,Tláhuac,293000,293000,0,0
09,Ciudad de México,012,Tlalpan,1126400,1092608,22528,11264
09,Ciudad de México,013,Xochimilco,671000,0,657580,13420
09,Ciudad de México,014,Benito Juárez,550000,0,550000,0
09,Ciudad de México,015,Cuauhtémoc,1760000,0,1760000,0
09,Ciudad de México,016,Miguel Hidalgo,977000,293100,586200,97700
09,Ciudad de México,017,Venustiano Carranza,1400000,686000,714000,0
09,Ciudad de México,000,Total,15557424,3937563,11071177,548684
