"Clave
Entidad",Entidad federativa,"Clave
Municipio o demarcación",Municipio,Total,,,,,,,,,
09,Ciudad de México,000,Total Ciudad de México,  21 660,,,,,,,,,
09,Ciudad de México,002,Azcapotzalco,412,,,,,,,,,
09,Ciudad de México,003,Coyoacán,2164,,,,,,,,,
09,Ciudad de México,004,Cuajimalpa de Morelos,486,,,,,,,,,
09,Ciudad de México,005,Gustavo A. Madero,2943,,,,,,,,,
09,Ciudad de México,006,Iztacalco,990,,,,,,,,,
09,Ciudad de México,007,Iztapalapa,4035,,,,,,,,,
09,Ciudad de México,008,La Magdalena Contreras,550,,,,,,,,,
09,Ciudad de México,009,Milpa Alta,418,,,,,,,,,
09,Ciudad de México,010,Álvaro Obregón,950,,,,,,,,,
09,Ciudad de México,011,Tláhuac,653,,,,,,,,,
09,Ciudad de México,012,Tlalpan,1066,,,,,,,,,
09,Ciudad de México,013,Xochimilco,780,,,,,,,,,
09,Ciudad de México,014,Benito Juárez,1540,,,,,,,,,
09,Ciudad de México,015,Cuauhtémoc,2065,,,,,,,,,
09,Ciudad de México,016,Miguel Hidalgo,1057,,,,,,,,,
09,Ciudad de México,017,Venustiano Carranza,1551,,,,,,,,,
